Pancaro TMS
Date:#######
Subject: 1
Session: 1
Block: 1

###
Displayed instructions:
Betätigen Sie den Knopf zwei(2) mal wenn der Ausdruck richtig,
und drei(3) mal wenn der Ausdruck falsch ist.	Benutzen Sie den Mittel- und Zeigefinger der rechten Hand,
um die Knöpfe zu betätigen###


Subject	Trial_nr	Item_Name	Trial_ID	ExpectedResponse	GivenResponse	ReactionTime	DP	SoundAbsEndtime	SoundDuration	CueLatency
1	78	audio.wav	pn35	3	3	474.1	882	503666.7	1334	502.799999999988
1	79	audio.wav	pn12	3	3	343.8	983	507249	1361	502.600000000035
1	80	audio.wav	dv14	3	3	836.3	758	510814.6	1304	502.300000000047
1	81	audio.wav	dn18	2	2	242.4	1003	515030.1	1449	502.099999999977
1	82	audio.wav	dn28	2	2	216.3	887	518212.1	1304	502.200000000012
1	83	audio.wav	pv16	2	2	1737.3	872	521693.3	1467	503.100000000035
1	84	audio.wav	pv03	2	2	532.8	958	526825.8	1447	502.09999999986
1	85	audio.wav	pn08	3	3	179.9	916	530373.5	1229	503.099999999977
1	86	audio.wav	pn20	3	3	1857.3	870	533489.4	1382	502.79999999993
1	87	audio.wav	pn33	3	3	417.3	922	538771.3	1455	502.29999999993
1	88	audio.wav	dn38	2	2	304.2	963	542436.8	1336	502.300000000047
1	89	audio.wav	dv23	3	3	283.1	1021	546002.1	1466	502.300000000047
1	90	audio.wav	dv17	3	3	429.3	949	549634.4	1401	501.999999999884
1	91	audio.wav	pv06	2	2	227.6	883	553032	1429	503.300000000047
1	92	audio.wav	dv29	3	3	398.2	1067	556714.5	1545	502.800000000047
1	93	audio.wav	pn24	3	3	321.5	1039	560446.6	1437	502.599999999977
1	94	audio.wav	dn21	2	2	357.7	879	563878.8	1403	502.599999999977
1	95	audio.wav	pn27	3	3	268.4	1079	567344.3	1417	502.499999999884
1	96	audio.wav	dv19	3	3	320.2	1017	570943.4	1462	502.099999999977
1	97	audio.wav	dv11	3	3	369.1	1095	574508	1499	503
1	98	audio.wav	dn07	2	2	417.8	704	577890.4	1236	502.599999999977
1	99	audio.wav	pv20	2	2	194.4	870	581389.5	1445	502.29999999993
1	100	audio.wav	dv15	3	3	563.3	951	584837.6	1435	503
1	101	audio.wav	pv26	2	2	53.6	1111	588852.5	1480	503.20000000007
1	102	audio.wav	dv12	3	3	275	984	592368.4	1473	502.79999999993
1	103	audio.wav	dv18	3	3	400.6	1003	596033.4	1524	503.099999999977
1	104	audio.wav	pv29	2	2	175	1068	599766.5	1545	502.099999999977
1	105	audio.wav	pv21	2	2	317.9	880	603414.5	1473	502.699999999953
1	106	audio.wav	dn19	2	2	254.5	1017	606896.7	1337	502.70000000007
1	107	audio.wav	pn32	3	3	252.8	1124	610244.9	1522	503.199999999953
1	108	audio.wav	dn34	2	2	287	1081	613660.4	1379	503.199999999953
1	109	audio.wav	pv39	2	2	158.9	818	617260.1	1362	502.099999999977
1	110	audio.wav	pv08	2	2	1287.1	916	620608.8	1314	502.199999999953
1	111	audio.wav	pn25	3	3	330.3	1014	624874.1	1403	502.099999999977
1	112	audio.wav	dv02	3	3	294	935	628188.9	1291	502.79999999993
1	113	audio.wav	pv40	2	2	223.5	986	631537.9	1419	502.599999999977
1	114	audio.wav	dn37	2	2	42.6	996	634820.2	1357	502.400000000023
1	115	audio.wav	pv33	2	2	624.7	922	638285.5	1451	502.70000000007
1	116	audio.wav	pv19	2	2	278.3	1014	642250.8	1460	502.499999999884
1	117	audio.wav	pn36	3	3	291.6	956	645665.9	1293	502.900000000023
1	118	audio.wav	dn15	2	2	213.5	951	648897.6	1319	503.300000000047
1	119	audio.wav	dv24	3	3	194	1037	652480.4	1533	502.699999999953
1	120	audio.wav	dv22	3	3	294.7	952	655945.9	1453	502.5
1	121	audio.wav	dv03	3	3	381.3	957	659544.8	1448	502.29999999993
1	122	audio.wav	dn11	2	2	267.7	1095	663143.3	1407	502.699999999953
1	123	audio.wav	pn07	3	3	264.3	703	666658.2	1236	503.099999999977
1	124	audio.wav	pv37	2	2	205.2	997	670141.1	1403	502.300000000047
1	125	audio.wav	pv10	2	2	222.2	1053	673523.1	1486	502.400000000023
1	126	audio.wav	pn05	3	3	517	847	676471.8	1161	502.599999999977
1	127	audio.wav	pv34	2	2	663.9	1082	680454.1	1464	502.300000000047
1	128	audio.wav	pv02	2	2	306.3	936	684369.2	1292	502.5
1	129	audio.wav	dn30	2	2	349.8	1115	688051	1423	502.599999999977
1	130	audio.wav	dn35	2	2	711.7	881	691300.1	1332	502.400000000023
1	131	audio.wav	dn24	2	2	479.2	1037	694998.4	1435	502.800000000047
1	132	audio.wav	dv33	3	3	254.4	922	698664.3	1450	502.199999999953
1	133	audio.wav	dv06	3	3	311.7	883	702262	1429	503.300000000047
1	134	audio.wav	pv36	2	2	377.2	956	705494.7	1375	502.800000000047
1	135	audio.wav	pn04	3	3	287.8	831	709044.2	1256	501.900000000023
1	136	audio.wav	dv32	3	3	307.1	1124	712908.8	1598	502.599999999977
1	137	audio.wav	pv11	2	2	250.6	1096	716724.1	1500	502.70000000007
1	138	audio.wav	dn03	2	2	283.9	957	720106.5	1321	502.29999999993
1	139	audio.wav	dn40	2	2	322.3	985	723305.1	1297	502.599999999977
1	140	audio.wav	dn02	2	2	241.2	935	726553.6	1267	502.900000000023
1	141	audio.wav	dv39	3	3	297.2	816	729853.1	1360	502.400000000023
1	142	audio.wav	pv18	2	2	238.1	997	733417.8	1518	503.099999999977
1	143	audio.wav	pn15	3	3	309.8	951	736732.9	1319	503.29999999993
1	144	audio.wav	dn16	2	2	224.1	872	740165.8	1370	502.5
1	145	audio.wav	dn06	2	2	259.5	883	743664.5	1356	502.699999999953
1	146	audio.wav	dv30	3	3	291.5	1115	747413.2	1501	502.600000000093
1	147	audio.wav	pn29	3	3	247.9	1068	750928.4	1439	502.79999999993
1	148	audio.wav	dv40	3	3	206.8	985	754177.4	1418	502.699999999953
1	149	audio.wav	pn22	3	3	19.9	951	757726.6	1336	502.199999999953
1	150	audio.wav	pv12	2	2	244.8	983	760941.9	1472	502.399999999907
1	151	audio.wav	pn34	3	3	216.6	1082	764240.2	1380	503.000000000116
1	152	audio.wav	dn04	2	2	253.6	832	767522.6	1257	502.70000000007
1	153	audio.wav	dv28	3	3	317.2	887	771238.2	1457	502.40000000014
1	154	audio.wav	dv35	3	3	487.5	881	774503.8	1389	502.29999999993
1	155	audio.wav	pn10	3	3	279.4	1053	778318.3	1382	503.099999999977
1	156	audio.wav	pv15	2	2	230	951	781584	1435	502.900000000023
1	157	audio.wav	pv23	2	2	301.3	1021	785183.8	1466	501.79999999993
1	158	audio.wav	pn14	3	3	292.4	759	788749.2	1266	501.900000000023
1	159	audio.wav	dn36	2	2	244.9	956	792114	1292	502.5
1	160	audio.wav	dv31	3	3	274.6	1136	795762.6	1554	502.70000000007
