subj,block,rts,accuracy,item_type,item_gram,phrase_type
2,1,244.7,1,dv,0,DP
2,1,120.8,1,dv,0,DP
2,1,259.9,1,dn,1,DP
2,1,224.7,1,pn,0,VP
2,1,271.5,1,pv,1,VP
2,1,278.8,1,dn,1,DP
2,1,365.2,1,pn,0,VP
2,1,464.7,1,pn,0,VP
2,1,1065.5,1,pn,0,VP
2,1,275.5,1,dv,0,DP
2,1,203.5,1,dn,1,DP
2,1,1041.1,1,dn,1,DP
2,1,456.1,1,pv,1,VP
2,1,247.2,1,pv,1,VP
2,1,253,1,pn,0,VP
2,1,168,1,pn,0,VP
2,1,74.9,1,pn,0,VP
2,1,1293.4,1,dn,1,DP
2,1,341.3,1,dv,0,DP
2,1,327.3,1,dv,0,DP
2,1,139,1,pv,1,VP
2,1,458,1,dv,0,DP
2,1,528,1,pn,0,VP
2,1,395.3,1,dn,1,DP
2,1,500.2,1,pn,0,VP
2,1,1663.7,1,dv,0,DP
2,1,575.2,1,dv,0,DP
2,1,265.6,1,dn,1,DP
2,1,469.2,1,pv,1,VP
2,1,449.8,1,dv,0,DP
2,1,488.7,1,pv,1,VP
2,1,524,1,dv,0,DP
2,1,429.3,1,dv,0,DP
2,1,326.1,1,pv,1,VP
2,1,219.6,1,pv,1,VP
2,1,284.5,1,dn,1,DP
2,1,435.4,1,pn,0,VP
2,1,2485.3,1,dn,1,DP
2,1,128,1,pv,1,VP
2,1,239.8,1,pv,1,VP
2,1,514.3,1,pn,0,VP
2,1,677.4,1,dv,0,DP
2,1,219.9,1,pv,1,VP
2,1,902.6,1,dn,1,DP
2,1,636.3,1,pv,1,VP
2,1,542,1,pv,1,VP
2,1,410,1,pn,0,VP
2,1,647.1,1,dn,1,DP
2,1,426.9,1,dv,0,DP
2,1,320.4,1,dv,0,DP
2,1,607.3,1,dv,0,DP
2,1,34.4,1,dn,1,DP
2,1,273.6,1,pn,0,VP
2,1,382.8,1,pv,1,VP
2,1,728.4,1,pv,1,VP
2,1,534.1,1,pn,0,VP
2,1,342.6,1,pv,1,VP
2,1,439.9,1,pv,1,VP
2,1,630.3,1,dn,1,DP
2,1,259.4,1,dn,1,DP
2,1,508.1,1,dn,1,DP
2,1,458.9,1,dv,0,DP
2,1,367,1,dv,0,DP
2,1,282.2,1,pv,1,VP
2,1,533,1,pn,0,VP
2,1,645.9,1,dv,0,DP
2,1,384.2,1,pv,1,VP
2,1,288.2,1,dn,1,DP
2,1,352.4,1,dn,1,DP
2,1,3538.4,1,dn,1,DP
2,1,312.8,1,dv,0,DP
2,1,96.3,1,pv,1,VP
2,1,233.6,1,pn,0,VP
2,1,1253.9,1,dn,1,DP
2,1,322.2,1,dn,1,DP
2,1,373.7,1,dv,0,DP
2,1,429.5,1,pn,0,VP
2,1,550.2,1,dv,0,DP
2,1,517.5,1,pn,0,VP
2,1,237.9,1,pv,1,VP
2,1,992.9,1,pn,0,VP
2,1,319.6,1,dn,1,DP
2,1,540.9,1,dv,0,DP
2,1,444.6,1,dv,0,DP
2,1,409.1,1,pn,0,VP
2,1,469.3,1,pv,1,VP
2,1,385.6,1,pv,1,VP
2,1,514.8,1,pn,0,VP
2,1,452,1,dn,1,DP
2,1,422.5,1,dv,0,DP
2,2,371.4,1,pn,0,VP
2,2,216.8,1,dv,0,DP
2,2,296.9,1,dn,1,DP
2,2,227.8,1,dv,0,DP
2,2,344.5,1,pv,1,VP
2,2,256.4,1,dn,1,DP
2,2,222.1,1,pv,1,VP
2,2,207.4,1,dv,0,DP
2,2,627.9,1,dv,0,DP
2,2,340.2,1,dn,1,DP
2,2,331.5,1,pv,1,VP
